recipe_url,name,time,difficulty,ingredients
https://www.jamieoliver.com/recipes/vegetable-recipes/air-fryer-root-veg/,Air-fryer root veg,"45 minutes (10 minutes prep, 35 minutes cook)                                                    ","Super easy                                                    
","['640 g root veg , such as carrot, butternut squash, parsnip, swede', 'olive oil', '4 cloves of garlic', '2 sprigs of fresh rosemary', 'red wine vinegar']"
https://www.jamieoliver.com/recipes/vegetable-recipes/smoky-tender-aubergine/,Smoky tender aubergine,22 minutes                                                    ,"Not too tricky                                                    
","['2 aubergines', '50 g sesame seeds', '½ x 700 g jar or 1 x 400g tin of chickpeas', '2 lemons', '200 g radishes , ideally with leaves']"
https://www.jamieoliver.com/recipes/vegetable-recipes/smoky-lentil-and-broccoli-stem-tacos/,Smoky lentil and broccoli stem tacos,"35 minutes (20 MINUTES PREP, 10-15 MINUTES COOK)                                                    ","Not too tricky                                                    
","['2 tbsp olive oil', '½ red onion , thinly sliced', '1 large broccoli stem , grated', '1 x 400 g tin green lentils , drained and rinsed', '2 garlic cloves , finely chopped', '4 sundried tomatoes , roughly chopped', '1 tbsp tomato purée', '1 tbsp soy sauce , or tamari', '1 tsp smoked paprika', '1 tsp ground cumin', '1 tbsp nutritional yeast', '¼ tsp black pepper', 'Crisp cucumber salsa', '2 baby cucumbers , quartered lengthways, then thinly sliced', '½ red onion , finely chopped', '1 lime , zest and juice of', '2 tbsp freshly chopped mint', '2 tbsp freshly chopped coriander', '½ fresh red or green chilli , seeded, finely chopped', 'generous pinch of salt', '¼ tsp black pepper', 'To serve', '8–12 corn or flour tortillas , warmed', 'freshly chopped coriander and basil', 'lime wedges']"
https://www.jamieoliver.com/recipes/vegetable-recipes/sticky-aubergine-and-peanut-salad/,Sticky aubergine and peanut salad,"55 minutes (15 MINUTES PREP, 40 MINUTES COOK)                                                    ","Not too tricky                                                    
","['2 aubergines', '2 tbsp soy sauce or tamari', '2 tbsp maple syrup', '1 tbsp sriracha', '2 tbsp sesame oil', 'Sweet and spicy peanut sauce', '2 tbsp peanut butter , either smooth or crunchy', '1 tbsp sriracha', '1–2 limes , zest and juice of', '1 tbsp maple syrup', 'To serve', '50 g peanuts , roughly chopped', '4 tbsp chopped fresh coriander', '4 tbsp chopped fresh mint', '3 spring onions , thinly sliced', '1 red chilli , thinly sliced']"
https://www.jamieoliver.com/recipes/sides-and-sauces-recipes/magnolia-blossom-pickle/,Magnolia blossom pickle,10 minutes plus pickling time                                                    ,"Not too tricky                                                    
","['100 g magnolia blossom leaves (roughly 6 heads)', '350 ml rice wine vinegar', '50 g golden caster sugar']"
https://www.jamieoliver.com/recipes/fruit-recipes/raw-vegan-flapjack-snacks/,Raw vegan flapjack snacks,30 minutes                                                    ,"Not too tricky                                                    
","['100 g unsalted pecans', '100 g unsalted hazelnuts', '20 g mixed seeds , such as linseeds, chia', '180 g Medjool dates', '100 g mixed dried berries , such as blueberries, cranberries, sour cherries', '200 g porridge oats', '2 tablespoons oil , (I like walnut oil)', '1-2 tablespoons maple syrup']"
https://www.jamieoliver.com/recipes/vegetable-recipes/sweet-and-sour-stir-fry/,Sweet & sour stir-fry,21 minutes                                                    ,"Super easy                                                    
","['100 g fine rice noodles', '1 x 227 g tin of pineapple chunks in juice', '2 heaped teaspoons cornflour', '1 tablespoon cider vinegar', '2 teaspoons low-salt soy sauce', '2 teaspoons sesame seeds', '30 g cashew nuts', '4 spring onions', '2 cloves of garlic', '2 cm piece of ginger', '1 fresh red chilli', '200 g sugarsnap peas', 'groundnut oil', '200 g sprouts , such as alfalfa sprouts, chickpea sprouts, beansprouts', '1 lime']"
https://www.jamieoliver.com/recipes/fruit-recipes/perfect-poached-rhubarb/,Perfect poached rhubarb,15 minutes                                                    ,"Not too tricky                                                    
","['2 kg rhubarb', '5 cm piece of ginger', '300 g sugar', '1 bunch of fresh thyme , (20g) optional']"
https://www.jamieoliver.com/recipes/vegetable-recipes/5-a-day-spiced-veg-stew/,5-a-day spiced veg stew,53 minutes                                                    ,"Not too tricky                                                    
","['1 sweet potato , (300g)', '1 aubergine , (250g)', '2 mixed-colour peppers', '2 onions', 'olive oil', '½ a bunch of fresh coriander , (15g)', '30 g sun-dried tomatoes', '2 tablespoons Thai curry paste , (choose your favourite)', '½ x 400 g tin of light coconut milk', '160 g mangetout', '2 teaspoons soy or fish sauce', '1 lime', '2 flatbreads , optional']"
https://www.jamieoliver.com/recipes/vegetable-recipes/super-silky-houmous/,Super-silky houmous,5 minutes                                                    ,"Not too tricky                                                    
","['1 x 700 g jar of chickpeas', '½ a clove of garlic', 'ground cumin', 'extra virgin olive oil', '2 tablespoons tahini', '1 lemon']"
