recipe_url,name,time,difficulty,ingredients
https://www.jamieoliver.com/recipes/vegetable-recipes/mushroom-quesadillas/,Mushroom quesadillas,"15 minutes (5 MINUTES PREP, 10 MINUTES COOK)                                                    ","Not too tricky                                                    
","['3 tablespoons extra-virgin olive oil , (45ml)', '200 g portobello mushrooms , sliced 8mm thick (or other mushrooms of choice)', '½ teaspoon chipotle powder', '¼ teaspoon cooking salt', '¼ teaspoon black pepper', '¾ cup (75g) colby cheese , shredded', '2 x 20 cm flour tortillas', 'TO SERVE', 'Sour cream', 'Pico de Gallo , (page 224 of RecipeTin Eats: Dinner)', 'Guacamole or Avocado Crema , (page 220 of RecipeTin Eats: Dinner)', 'Lime wedges']"
https://www.jamieoliver.com/recipes/vegetable-recipes/air-fryer-root-veg/,Air-fryer root veg,"45 minutes (10 minutes prep, 35 minutes cook)                                                    ","Super easy                                                    
","['640 g root veg , such as carrot, butternut squash, parsnip, swede', 'olive oil', '4 cloves of garlic', '2 sprigs of fresh rosemary', 'red wine vinegar']"
https://www.jamieoliver.com/recipes/pasta-recipes/greek-cypriot-pasta/,Greek-Cypriot pasta,26 minutes                                                    ,"Not too tricky                                                    
","['600 g large ripe tomatoes', '2 cloves of garlic', '½ a bunch of flat-leaf parsley , (15g)', '200 g dried orzo', '40 g halloumi cheese']"
https://www.jamieoliver.com/recipes/vegetable-recipes/rogue-ratatouille-risotto/,Rogue ratatouille risotto,35 minutes                                                    ,"Not too tricky                                                    
","['700 g frozen chargrilled Mediterranean veg', '300 g risotto rice', '1.2 litres organic chicken , or vegetable stock', '1 bunch of basil , (30g)', ""100 g goat's cheese""]"
https://www.jamieoliver.com/recipes/vegetable-recipes/smoky-tender-aubergine/,Smoky tender aubergine,22 minutes                                                    ,"Not too tricky                                                    
","['2 aubergines', '50 g sesame seeds', '½ x 700 g jar or 1 x 400g tin of chickpeas', '2 lemons', '200 g radishes , ideally with leaves']"
https://www.jamieoliver.com/recipes/vegetable-recipes/smoky-lentil-and-broccoli-stem-tacos/,Smoky lentil and broccoli stem tacos,"35 minutes (20 MINUTES PREP, 10-15 MINUTES COOK)                                                    ","Not too tricky                                                    
","['2 tbsp olive oil', '½ red onion , thinly sliced', '1 large broccoli stem , grated', '1 x 400 g tin green lentils , drained and rinsed', '2 garlic cloves , finely chopped', '4 sundried tomatoes , roughly chopped', '1 tbsp tomato purée', '1 tbsp soy sauce , or tamari', '1 tsp smoked paprika', '1 tsp ground cumin', '1 tbsp nutritional yeast', '¼ tsp black pepper', 'Crisp cucumber salsa', '2 baby cucumbers , quartered lengthways, then thinly sliced', '½ red onion , finely chopped', '1 lime , zest and juice of', '2 tbsp freshly chopped mint', '2 tbsp freshly chopped coriander', '½ fresh red or green chilli , seeded, finely chopped', 'generous pinch of salt', '¼ tsp black pepper', 'To serve', '8–12 corn or flour tortillas , warmed', 'freshly chopped coriander and basil', 'lime wedges']"
https://www.jamieoliver.com/recipes/vegetable-recipes/beetroot-bucatini/,Beetroot bucatini,"50 minutes (15 MINUTES PREP, 25-35 MINUTES COOK)                                                    ","Not too tricky                                                    
","['380 g bucatini , spaghetti or linguine', '40 g feta , crumbled, to serve', 'Beetroot sauce', '1 large beetroot , including the stems and leaves', '1 tbsp olive oil', '1 onion , chopped', '2 garlic cloves , finely chopped or crushed', '1 tbsp chopped parsley stems', '1 tbsp chopped fresh basil stems , plus basil leaves to garnish', '4 tbsp nutritional yeast', '½ lemon , juice of', '1 tsp salt', '½ tsp black pepper', '70 ml oat milk', 'Crispy garlic breadcrumbs', '1 tbsp olive oil', '1 garlic clove , grated or thinly sliced', '50 g breadcrumbs , home-made from a stale loaf, or shop-bought']"
https://www.jamieoliver.com/recipes/fruit-recipes/island-salad/,Island salad,15 minutes                                                    ,"Not too tricky                                                    
","['1 cucumber', '2 pittas', '1 x 415 g tin of sliced peaches in juice', '120 g mixed salad leaves', '60 g halloumi cheese']"
https://www.jamieoliver.com/recipes/sides-and-sauces-recipes/magnolia-blossom-pickle/,Magnolia blossom pickle,10 minutes plus pickling time                                                    ,"Not too tricky                                                    
","['100 g magnolia blossom leaves (roughly 6 heads)', '350 ml rice wine vinegar', '50 g golden caster sugar']"
https://www.jamieoliver.com/recipes/vegetable-recipes/aromatic-veg-broth/,Aromatic veg broth,15 minutes                                                    ,"Not too tricky                                                    
","['200 g vermicelli rice noodles', '2 vegetable stock cubes', '½ teaspoon Chinese five-spice', '4 cm piece of ginger', 'a few sprigs of coriander', '½ a bunch of spring onions', '1 red chilli', '1 carrot', '100 g small button mushrooms', '½ a sweetheart cabbage', '100 g frozen peas', '2 teaspoons white miso paste', '1 lime']"
https://www.jamieoliver.com/recipes/vegetable-recipes/veggie-toad-in-the-hole/,Veggie toad-in-the-hole,55 minutes                                                    ,"Not too tricky                                                    
","['4 red onions', '800 g carrots', 'olive oil', '165 g plain flour', '150 ml semi-skimmed milk', '4 large eggs', '½ a bunch of sage (10g)', '4 thick slices of bread (200g)', 'red wine vinegar', '1 teaspoon berry jam, such as strawberry, blackberry or redcurrant jelly', '1 teaspoon yeast extract', '1 vegetable stock cube', '½ a Savoy cabbage', '200 g frozen peas']"
https://www.jamieoliver.com/recipes/vegetable-recipes/giant-veggie-puff-roll/,Giant veggie puff roll,55 minutes                                                    ,"Not too tricky                                                    
","['2 cloves of garlic', '3 onions', 'olive oil', '600 g carrots', '1 heaped teaspoon mixed spice', '1 x 400g tin of butter beans', '100 g feta cheese', '1 x 375 g pack of ready-rolled puff pastry', '1 large splash of semi-skimmed milk', '1 little gem lettuce', 'red wine vinegar']"
https://www.jamieoliver.com/recipes/vegetable-recipes/sweet-potato-chilli/,Sweet potato chilli,"2 hours 12 minutes (12 minutes prep, 2 hours cook)                                                    ","Not too tricky                                                    
","['6 sweet potatoes (250g each)', 'olive oil', '1 teaspoon cumin seeds', '1 x 95 g jar of chipotle chilli paste', '500 g fresh or frozen chopped mixed onion, carrot & celery', '½ a bunch of coriander (15g) , (15g)', '3 x 400 g tins of black beans', '3 x 400 g tins of plum tomatoes', '60 g feta cheese']"
https://www.jamieoliver.com/recipes/fruit-recipes/super-green-smoothie/,Super green smoothie,5 minutes                                                    ,"Super easy                                                    
","['1 ripe banana', '1 apple', '80 g baby spinach', '60 g porridge oats', '300 ml semi-skimmed milk', '2 tablespoons almond butter , or peanut butter', '1 handful of ice cubes']"
https://www.jamieoliver.com/recipes/fruit-recipes/raw-vegan-flapjack-snacks/,Raw vegan flapjack snacks,30 minutes                                                    ,"Not too tricky                                                    
","['100 g unsalted pecans', '100 g unsalted hazelnuts', '20 g mixed seeds , such as linseeds, chia', '180 g Medjool dates', '100 g mixed dried berries , such as blueberries, cranberries, sour cherries', '200 g porridge oats', '2 tablespoons oil , (I like walnut oil)', '1-2 tablespoons maple syrup']"
https://www.jamieoliver.com/recipes/pancake-recipes/crispy-rice-pancakes/,Crispy rice pancakes,30 minutes                                                    ,"Not too tricky                                                    
","['½ x 7 g sachet of yeast', '125 g rice flour', 'olive oil', '1 heaped teaspoon jalfrezi curry paste', '½–1 fresh red chilli', '1 bunch of spring onions', '½ x 660 g jar of chickpeas', '100 g baby spinach', '4 cm piece of ginger', '2 ripe tomatoes', '1 lime', '2 tablespoons unsweetened desiccated coconut flakes', '½ a bunch of fresh coriander , (15g)', '4 large free-range eggs', '4 heaped tablespoons natural yoghurt']"
https://www.jamieoliver.com/recipes/vegetable-recipes/super-leek-potato-soup/,Super leek & potato soup,40 minutes                                                    ,"Not too tricky                                                    
","['400 g leeks', 'olive oil', '400 g potatoes', '1.5 litres organic veg , or chicken stock', '320 g kale', '½ a bunch of fresh mint , (15g)', '½ a bunch of fresh flat-leaf parsley , (15g)', '40 g Parmesan cheese', '25 g whole almonds', '1 tablespoon white wine vinegar', 'extra virgin olive oil', '4 small slices of wholemeal bread , (35g each)']"
https://www.jamieoliver.com/recipes/vegetable-recipes/sweet-and-sour-stir-fry/,Sweet & sour stir-fry,21 minutes                                                    ,"Super easy                                                    
","['100 g fine rice noodles', '1 x 227 g tin of pineapple chunks in juice', '2 heaped teaspoons cornflour', '1 tablespoon cider vinegar', '2 teaspoons low-salt soy sauce', '2 teaspoons sesame seeds', '30 g cashew nuts', '4 spring onions', '2 cloves of garlic', '2 cm piece of ginger', '1 fresh red chilli', '200 g sugarsnap peas', 'groundnut oil', '200 g sprouts , such as alfalfa sprouts, chickpea sprouts, beansprouts', '1 lime']"
https://www.jamieoliver.com/recipes/avocado-recipes/avocado-and-broccoli-tacos/,Griddled avocado & broccoli tacos,40 minutes                                                    ,"Not too tricky                                                    
","['50 g pumpkin seeds', '1 head of broccoli', 'olive oil', '3 ripe avocados', 'ground cayenne pepper', '16 tacos', 'DRESSING', '1 large bunch of fresh coriander , (60g)', '250 g ricotta cheese', '1 splash of milk', '1 clove of garlic']"
https://www.jamieoliver.com/recipes/fruit-recipes/perfect-poached-rhubarb/,Perfect poached rhubarb,15 minutes                                                    ,"Not too tricky                                                    
","['2 kg rhubarb', '5 cm piece of ginger', '300 g sugar', '1 bunch of fresh thyme , (20g) optional']"
https://www.jamieoliver.com/recipes/vegetable-recipes/jacket-spuds-and-homemade-beans/,Jacket spuds & homemade beans,1 hour 5 minutes                                                    ,"Not too tricky                                                    
","['4 large Maris Piper potatoes', 'olive oil', '1 red pepper', '1 bunch of spring onions', '1 head of broccoli , (375g)', '1 heaped teaspoon smoked paprika', '2 x 400 g tins of cannellini beans', '1 x 400 g tin of plum tomatoes', '80 g Cheddar cheese', '1 x 80 g bag of watercress, spinach & rocket', 'extra virgin olive oil , optional']"
https://www.jamieoliver.com/recipes/pasta-recipes/rocket-and-pistachio-pesto-pasta/,Rocket & pistachio pesto pasta,18 minutes                                                    ,"Not too tricky                                                    
","['80 g wild rocket', '½ a clove of garlic', '50 g shelled unsalted pistachios', 'olive oil', '25 g Parmesan cheese , plus extra to serve', '1 lemon', '320 g asparagus', '300 g dried linguine']"
https://www.jamieoliver.com/recipes/vegetable-recipes/potato-pepper-and-broccoli-frittata/,"Potato, pepper & broccoli frittata",30 minutes                                                    ,"Not too tricky                                                    
","['600 g Maris Piper potatoes', '1 bunch of spring onions', '1 head of broccoli , (375g)', '1 red pepper', '1 teaspoon smoked paprika', '8 large eggs', '40 g Cheddar cheese', '1 x 80 g bag of watercress, spinach & rocket', 'extra virgin olive oil']"
https://www.jamieoliver.com/recipes/vegetables-recipes/my-veggie-black-bean-enchiladas/,My veggie black bean enchiladas,45 minutes                                                    ,"Not too tricky                                                    
","['2 red peppers', '2 fresh red chillies', '8 spring onions', '400 g ripe tomatoes', '2 cloves of garlic', 'olive oil', '1 bunch of fresh coriander , (30g)', '2 limes', '2 x 400 g tins of black beans', 'chipotle chilli sauce', '50 g feta cheese', '8 corn or flour tortillas', '2 large or 4 small corn on the cob', 'extra virgin olive oil', 'natural yoghurt or soured cream , to serve']"
https://www.jamieoliver.com/recipes/vegetable-recipes/smoky-veg-patties/,Smoky veg patties,25 minutes                                                    ,"Super easy                                                    
","['1 head of broccoli', '1 bunch of spring onions', '600 g Maris Piper potatoes', 'olive oil', '1 red pepper', 'red wine vinegar', '1 x 400 g tin of cannellini beans', '60 g Cheddar cheese', '½ teaspoon smoked paprika', '4 large eggs', '1 x 80 g bag of watercress, spinach & rocket', 'extra virgin olive oil']"
